"concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
200461,"Endometriosis of uterus","Condition","SNOMED","Clinical Finding","S","76376003","2002-01-31","2099-12-31",
199881,"Endometriosis of ovary","Condition","SNOMED","Clinical Finding","S","266589005","2002-01-31","2099-12-31",
35209394,"Endometriosis of fallopian tube","Condition","ICD10CM","4-char billing code",,"N80.2","2007-01-01","2099-12-31",
35209392,"Endometriosis of uterus","Condition","ICD10CM","4-char billing code",,"N80.0","2007-01-01","2099-12-31",
35209400,"Endometriosis, unspecified","Condition","ICD10CM","4-char billing code",,"N80.9","2007-01-01","2099-12-31",
35209396,"Endometriosis of rectovaginal septum and vagina","Condition","ICD10CM","4-char billing code",,"N80.4","2007-01-01","2099-12-31",
35209398,"Endometriosis in cutaneous scar","Condition","ICD10CM","4-char billing code",,"N80.6","2007-01-01","2099-12-31",
2109444,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm diameter or less","Procedure","CPT4","CPT4","S","49203","2008-04-01","2099-12-31",
2109446,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor greater than 10.0 cm diameter","Procedure","CPT4","CPT4","S","49205","2008-04-01","2099-12-31",
4272614,"Endometriosis of the cul-de-sac","Condition","SNOMED","Clinical Finding","S","64286001","2002-01-31","2099-12-31",
4195507,"Endometriosis of uterosacral ligament","Condition","SNOMED","Clinical Finding","S","314049009","2002-01-31","2099-12-31",
4189364,"Endometriosis of cervix","Condition","SNOMED","Clinical Finding","S","61640006","2002-01-31","2099-12-31",
4317964,"Endometriosis of rectum","Condition","SNOMED","Clinical Finding","S","9563009","2002-01-31","2099-12-31",
4034016,"Endometriosis outside pelvis","Condition","SNOMED","Clinical Finding","S","237117005","2002-01-31","2099-12-31",
36713393,"Endometriosis of small intestine","Condition","SNOMED","Clinical Finding","S","717698000","2017-01-31","2099-12-31",
581477,"Office Visit","Visit","Visit","Visit","S","OMOP4822458","1970-01-01","2099-12-31",
581458,"Pharmacy visit","Visit","Visit","Visit","S","OMOP4822462","1970-01-01","2099-12-31",
8883,"Ambulatory Surgical Center","Visit","CMS Place of Service","Visit","S","24","1970-01-01","2099-12-31",
8809,"Independent Laboratory","Visit","CMS Place of Service","Visit","S","81","1970-01-01","2099-12-31",
9202,"Outpatient Visit","Visit","Visit","Visit","S","OP","1970-01-01","2099-12-31",
