"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
5083,5083,0,0
8546,38004197,1,1
8546,8546,0,0
8668,8668,0,0
8668,38004358,1,1
8716,8716,0,0
8717,8717,0,0
8717,38004287,1,1
8717,38004285,1,1
8717,38004290,2,2
8717,38004282,2,2
8717,38004277,1,1
8717,8913,1,1
8717,38004284,1,1
8717,38004515,1,1
8717,38004279,1,1
8717,581379,2,2
8717,581383,2,2
8717,38004280,2,2
8717,38004283,2,2
8717,32037,1,1
8717,38004278,1,1
8717,38004291,2,2
8717,38004288,1,1
8717,38004275,1,1
8717,32254,1,1
8717,38004281,2,2
8717,38004286,2,2
8717,38004276,2,2
8717,38004270,1,1
8717,38004274,2,2
8756,8756,0,0
8756,32693,1,1
8756,32276,1,1
8756,581385,1,1
8756,5084,1,1
8756,38004515,1,1
8761,8761,0,0
8782,8782,0,0
8809,8809,0,0
8850,8850,0,0
8850,38004354,1,1
8850,38004356,1,1
8850,38004360,1,1
8850,38004359,1,1
8850,38004364,1,1
8870,8870,0,0
8883,38004261,1,1
8883,8883,0,0
8883,38004262,1,1
8913,8913,0,0
8947,8947,0,0
8949,8949,0,0
8964,8964,0,0
8966,8966,0,0
8971,8971,0,0
8977,8977,0,0
9201,38004285,2,2
9201,38004288,2,2
9201,581384,1,1
9201,32254,2,2
9201,8717,1,1
9201,38004286,3,3
9201,8913,2,2
9201,38004275,2,2
9201,9201,0,0
9201,38004281,3,3
9201,38004274,3,3
9201,38004283,3,3
9201,38004278,2,2
9201,38004277,2,2
9201,32760,1,1
9201,581383,3,3
9201,38004270,2,2
9201,38004284,2,2
9201,38004291,3,3
9201,38004279,2,2
9201,38004276,3,3
9201,38004290,3,3
9201,32037,2,2
9201,38004280,3,3
9201,581379,3,3
9201,38004287,2,2
9201,38004515,2,2
9201,8971,1,1
9201,38004282,3,3
9202,38004229,2,2
9202,9202,0,0
9202,38004239,2,2
9202,38004267,2,2
9202,38004696,1,1
9202,38004235,2,2
9202,38004243,2,2
9202,38004223,2,2
9202,903270,3,3
9202,8650,2,2
9202,38004210,2,2
9202,38003821,2,2
9202,38004253,3,3
9202,38004264,2,2
9202,38004246,2,2
9202,8966,1,1
9202,38004453,1,1
9202,32276,2,2
9202,8716,1,1
9202,38004218,2,2
9202,8905,1,1
9202,8782,1,1
9202,38004256,3,3
9202,38004241,2,2
9202,38004216,2,2
9202,38004211,2,2
9202,8960,1,1
9202,38004260,2,2
9202,38004228,2,2
9202,705159,2,2
9202,8756,1,1
9202,38004238,2,2
9202,38004245,2,2
9202,38004259,2,2
9202,38004263,2,2
9202,38004231,2,2
9202,8584,1,1
9202,38004261,3,3
9202,38004217,2,2
9202,38004227,2,2
9202,38004266,2,2
9202,38004288,2,2
9202,38004209,2,2
9202,38004258,2,2
9202,38004526,2,2
9202,581477,1,1
9202,38004215,2,2
9202,38004208,2,2
9202,38004677,1,1
9202,8761,1,1
9202,38004291,3,3
9202,38004242,2,2
9202,8968,2,2
9202,8974,2,2
9202,38004225,2,2
9202,32261,1,1
9202,581479,1,1
9202,38004233,2,2
9202,38004234,2,2
9202,8941,1,1
9202,5084,2,2
9202,38004269,3,3
9202,8977,1,1
9202,38004220,2,2
9202,38003820,2,2
9202,38003620,1,1
9202,38004222,2,2
9202,38004237,2,2
9202,32693,2,2
9202,8949,1,1
9202,38004290,3,3
9202,38004251,3,3
9202,38004207,1,1
9202,38004247,2,2
9202,38004232,2,2
9202,38004252,3,3
9202,38004515,2,2
9202,38004213,2,2
9202,8858,1,1
9202,38004702,1,1
9202,38004257,3,3
9202,38004268,2,2
9202,581380,1,1
9202,38004262,3,3
9202,38004226,2,2
9202,38004254,2,2
9202,8947,2,2
9202,581385,2,2
9202,38004249,2,2
9202,38004244,2,2
9202,38004248,2,2
9202,8969,2,2
9202,38004236,2,2
9202,38004240,2,2
9202,38004219,2,2
9202,38004250,2,2
9202,38004693,1,1
9202,8883,2,2
9202,8964,1,1
9202,38004204,3,3
9203,8870,1,1
31821,37209399,3,3
31821,37209400,3,3
31821,37117191,3,3
31821,199881,2,2
31821,4034015,3,3
31821,37209188,4,4
32036,8809,1,1
75865,4276944,4,4
79069,4317964,1,1
134730,4200841,1,1
135930,4200841,3,3
139882,139882,0,0
141960,139882,4,4
141960,4146995,3,3
192438,4034015,4,4
193254,4211992,1,1
193254,4200841,2,2
194420,194420,0,0
194421,194421,0,0
194421,4317964,1,1
194421,4224161,1,1
194421,4260818,1,1
194421,36717630,1,1
196738,4003678,2,2
197033,4195507,1,1
197033,197033,0,0
197033,37110261,1,1
197033,4182703,1,1
