"concept_id_1","concept_id_2","relationship_id","valid_start_date","valid_end_date","invalid_reason"
199881,37209399,"Subsumes","2019-07-31","2099-12-31",
199881,4034015,"Subsumes","2011-07-31","2099-12-31",
199881,37209400,"Subsumes","2019-07-31","2099-12-31",
199881,37117191,"Subsumes","2018-01-31","2099-12-31",
199881,199881,"Maps to","1970-01-01","2099-12-31",
199881,199881,"Mapped from","1970-01-01","2099-12-31",
199881,35209393,"Mapped from","1970-01-01","2099-12-31",
199881,4132140,"Is a","2011-07-31","2099-12-31",
1571565,35209400,"Subsumes","2016-03-25","2099-12-31",
1571565,35209396,"Subsumes","2016-03-25","2099-12-31",
1571565,35209399,"Subsumes","2016-03-25","2099-12-31",
1571565,35209393,"Subsumes","2016-03-25","2099-12-31",
1571565,35209395,"Subsumes","2016-03-25","2099-12-31",
1571565,35209398,"Subsumes","2016-03-25","2099-12-31",
1571565,35209394,"Subsumes","2016-03-25","2099-12-31",
1571565,35209397,"Subsumes","2016-03-25","2099-12-31",
1571565,433527,"Maps to","1970-01-01","2099-12-31",
1571565,35209392,"Subsumes","2016-03-25","2099-12-31",
35209398,139882,"Maps to","1970-01-01","2099-12-31",
35209398,1571565,"Is a","2016-03-25","2099-12-31",
4187787,4187787,"Maps to","1970-01-01","2099-12-31",
4187787,4187787,"Mapped from","1970-01-01","2099-12-31",
4187787,433527,"Is a","2011-07-31","2099-12-31",
36713393,36713393,"Maps to","2017-01-31","2099-12-31",
36713393,36713393,"Mapped from","2017-01-31","2099-12-31",
36713393,4034016,"Is a","2017-01-31","2099-12-31",
8883,8883,"Maps to","1970-01-01","2099-12-31",
8883,8883,"Mapped from","1970-01-01","2099-12-31",
8964,9202,"Is a","1970-01-01","2099-12-31",
8964,8964,"Maps to","1970-01-01","2099-12-31",
8964,8964,"Mapped from","1970-01-01","2099-12-31",
581476,581476,"Maps to","1970-01-01","2099-12-31",
581476,581476,"Mapped from","1970-01-01","2099-12-31",
8949,9202,"Is a","1970-01-01","2099-12-31",
8949,8949,"Maps to","1970-01-01","2099-12-31",
8949,8949,"Mapped from","1970-01-01","2099-12-31",
4127413,4127413,"Maps to","1970-01-01","2099-12-31",
4127413,4127413,"Mapped from","1970-01-01","2099-12-31",
4127413,200461,"Is a","2011-07-31","2099-12-31",
37110261,37110261,"Maps to","2017-07-31","2099-12-31",
37110261,37110261,"Mapped from","2017-07-31","2099-12-31",
37110261,197033,"Is a","2018-01-31","2099-12-31",
4200841,4200841,"Maps to","1970-01-01","2099-12-31",
4200841,4200841,"Mapped from","1970-01-01","2099-12-31",
4200841,4211992,"Is a","2018-01-31","2099-12-31",
9202,581477,"Subsumes","1970-01-01","2099-12-31",
9202,8966,"Subsumes","2019-02-01","2099-12-31",
9202,8782,"Subsumes","2019-02-01","2099-12-31",
9202,8756,"Subsumes","1970-01-01","2099-12-31",
9202,8761,"Subsumes","2019-02-01","2099-12-31",
9202,8716,"Subsumes","2019-02-01","2099-12-31",
9202,38003620,"Subsumes","2019-02-01","2099-12-31",
9202,9202,"Maps to","1970-01-01","2099-12-31",
9202,581380,"Subsumes","1970-01-01","2099-12-31",
9202,9202,"Mapped from","1970-01-01","2099-12-31",
9202,8964,"Subsumes","1970-01-01","2099-12-31",
9202,8977,"Subsumes","2019-02-01","2099-12-31",
9202,8949,"Subsumes","1970-01-01","2099-12-31",
8716,8716,"Maps to","1970-01-01","2099-12-31",
8716,8716,"Mapped from","1970-01-01","2099-12-31",
8716,9202,"Is a","2019-02-01","2099-12-31",
8971,9201,"Is a","1970-01-01","2099-12-31",
8971,8971,"Maps to","1970-01-01","2099-12-31",
8971,8971,"Mapped from","1970-01-01","2099-12-31",
37117191,37117191,"Maps to","2017-07-31","2099-12-31",
37117191,37117191,"Mapped from","2017-07-31","2099-12-31",
37117191,199881,"Is a","2018-01-31","2099-12-31",
4058381,4058381,"Maps to","1970-01-01","2099-12-31",
4058381,4058381,"Mapped from","1970-01-01","2099-12-31",
4058381,200461,"Is a","2011-07-31","2099-12-31",
4034016,36717630,"Subsumes","2017-01-31","2099-12-31",
4034016,36713393,"Subsumes","2017-01-31","2099-12-31",
4034016,4034016,"Maps to","1970-01-01","2099-12-31",
4034016,4034016,"Mapped from","1970-01-01","2099-12-31",
4034016,433527,"Is a","2011-07-31","2099-12-31",
4034016,36713394,"Subsumes","2017-01-31","2099-12-31",
4034016,4146995,"Subsumes","2011-07-31","2099-12-31",
4034016,4072148,"Subsumes","2011-07-31","2099-12-31",
37209399,37209399,"Maps to","2019-07-31","2099-12-31",
37209399,37209399,"Mapped from","2019-07-31","2099-12-31",
37209399,199881,"Is a","2019-07-31","2099-12-31",
37209399,37209188,"Subsumes","2019-07-31","2099-12-31",
37209400,37209400,"Maps to","2019-07-31","2099-12-31",
37209400,37209400,"Mapped from","2019-07-31","2099-12-31",
37209400,199881,"Is a","2019-07-31","2099-12-31",
37209400,37209188,"Subsumes","2019-07-31","2099-12-31",
44823204,433527,"Maps to","1970-01-01","2099-12-31",
4176409,4176409,"Maps to","1970-01-01","2099-12-31",
4176409,4176409,"Mapped from","1970-01-01","2099-12-31",
4176409,36713394,"Is a","2017-01-31","2099-12-31",
4176409,4051345,"Subsumes","2011-07-31","2099-12-31",
8966,9202,"Is a","2019-02-01","2099-12-31",
8966,8966,"Maps to","1970-01-01","2099-12-31",
8966,8966,"Mapped from","1970-01-01","2099-12-31",
4051345,4051345,"Maps to","1970-01-01","2099-12-31",
4051345,4051345,"Mapped from","1970-01-01","2099-12-31",
4051345,4176409,"Is a","2011-07-31","2099-12-31",
194421,36717630,"Subsumes","2017-01-31","2099-12-31",
194421,35209397,"Mapped from","1970-01-01","2099-12-31",
194421,433527,"Is a","2011-07-31","2099-12-31",
194421,4224161,"Subsumes","2011-07-31","2099-12-31",
194421,4317964,"Subsumes","2011-07-31","2099-12-31",
194421,4260818,"Subsumes","2011-07-31","2099-12-31",
194421,194421,"Maps to","1970-01-01","2099-12-31",
194421,194421,"Mapped from","1970-01-01","2099-12-31",
4195507,4195507,"Maps to","1970-01-01","2099-12-31",
4195507,4195507,"Mapped from","1970-01-01","2099-12-31",
4195507,197033,"Is a","2011-07-31","2099-12-31",
197033,35209395,"Mapped from","1970-01-01","2099-12-31",
197033,4019817,"Subsumes","2011-07-31","2099-12-31",
197033,197033,"Maps to","1970-01-01","2099-12-31",
197033,197033,"Mapped from","1970-01-01","2099-12-31",
197033,4222798,"Subsumes","2011-07-31","2099-12-31",
197033,4182703,"Subsumes","2011-07-31","2099-12-31",
197033,4132140,"Is a","2011-07-31","2099-12-31",
197033,37119080,"Subsumes","2018-01-31","2099-12-31",
197033,37110261,"Subsumes","2018-01-31","2099-12-31",
197033,4272614,"Subsumes","2011-07-31","2099-12-31",
197033,4195507,"Subsumes","2011-07-31","2099-12-31",
35209395,1571565,"Is a","2016-03-25","2099-12-31",
35209395,197033,"Maps to","1970-01-01","2099-12-31",
36717630,36717630,"Maps to","2017-01-31","2099-12-31",
36717630,36717630,"Mapped from","2017-01-31","2099-12-31",
36717630,4034016,"Is a","2017-01-31","2099-12-31",
36717630,194421,"Is a","2017-01-31","2099-12-31",
35209393,199881,"Maps to","1970-01-01","2099-12-31",
35209393,1571565,"Is a","2016-03-25","2099-12-31",
2109445,2109445,"Maps to","2008-04-01","2099-12-31",
2109445,2109445,"Mapped from","2008-04-01","2099-12-31",
8546,8546,"Maps to","1970-01-01","2099-12-31",
8546,8546,"Mapped from","1970-01-01","2099-12-31",
4230333,4230333,"Maps to","1970-01-01","2099-12-31",
4230333,4230333,"Mapped from","1970-01-01","2099-12-31",
4230333,433527,"Is a","2011-07-31","2099-12-31",
4146995,4146995,"Maps to","1970-01-01","2099-12-31",
4146995,4146995,"Mapped from","1970-01-01","2099-12-31",
4146995,139882,"Subsumes","2011-07-31","2099-12-31",
4146995,4034016,"Is a","2011-07-31","2099-12-31",
4211992,4200841,"Subsumes","2018-01-31","2099-12-31",
4211992,4132140,"Is a","2011-07-31","2099-12-31",
4211992,35209396,"Mapped from","2019-01-09","2099-12-31",
4211992,4211992,"Maps to","1970-01-01","2099-12-31",
4211992,4211992,"Mapped from","1970-01-01","2099-12-31",
35209396,1571565,"Is a","2016-03-25","2099-12-31",
35209396,4211992,"Maps to","2019-01-09","2099-12-31",
581458,581458,"Maps to","1970-01-01","2099-12-31",
