cohort_id,time_id,covariate_id,sum_value,mean,sd,database_id
1,10,704059701,16743,0.2291,0.4202,Pharmetrics
1,3,2212453701,2438,0.0334,0.1796,Pharmetrics
1,10,4046263701,1420,0.0194,0.138,Pharmetrics
1,10,2212359701,6291,0.0861,0.2805,Pharmetrics
1,10,2212593701,37090,0.5075,0.4999,Pharmetrics
1,3,2212648701,26180,0.3582,0.4795,Pharmetrics
1,4,2212593701,6703,0.0917,0.2886,Pharmetrics
1,7,2212095701,1824,0.025,0.156,Pharmetrics
1,1,2212166701,17673,0.2418,0.4282,Pharmetrics
1,5,2212238701,8697,0.119,0.3238,Pharmetrics
1,10,2212835701,7641,0.1045,0.306,Pharmetrics
1,10,2212167701,17955,0.2457,0.4305,Pharmetrics
1,6,2212168701,3636,0.0498,0.2174,Pharmetrics
1,1,2212593701,23470,0.3211,0.4669,Pharmetrics
1,10,2212422701,10676,0.1461,0.3532,Pharmetrics
1,10,2212320701,13130,0.1797,0.3839,Pharmetrics
1,9,2212649701,8374,0.1146,0.3185,Pharmetrics
1,3,2212538701,3758,0.0514,0.2209,Pharmetrics
1,10,2212095701,35294,0.4829,0.4997,Pharmetrics
1,2,2212441701,6922,0.0947,0.2928,Pharmetrics
1,4,2212238701,3306,0.0452,0.2078,Pharmetrics
1,5,2212648701,18577,0.2542,0.4354,Pharmetrics
1,2,2213162701,12549,0.1717,0.3771,Pharmetrics
1,8,2212998701,1019,0.0139,0.1173,Pharmetrics
1,2,2212173701,22811,0.3121,0.4634,Pharmetrics
1,10,2212376701,15042,0.2058,0.4043,Pharmetrics
1,1,2212441701,8635,0.1182,0.3228,Pharmetrics
1,10,2213173701,5393,0.0738,0.2614,Pharmetrics
1,9,2212227701,997,0.0136,0.116,Pharmetrics
1,10,2212990701,9153,0.1252,0.331,Pharmetrics
1,10,2213123701,1441,0.0197,0.139,Pharmetrics
1,4,2213220701,1198,0.0164,0.127,Pharmetrics
1,2,2212991701,2052,0.0281,0.1652,Pharmetrics
1,8,2212168701,2563,0.0351,0.184,Pharmetrics
1,2,2212290701,1386,0.019,0.1364,Pharmetrics
1,4,2212632701,6195,0.0848,0.2785,Pharmetrics
1,4,2212631701,4564,0.0624,0.242,Pharmetrics
1,1,2212648701,33144,0.4535,0.4978,Pharmetrics
1,5,2212589701,1657,0.0227,0.1489,Pharmetrics
1,2,2213044701,3416,0.0467,0.2111,Pharmetrics
1,9,2212816701,2471,0.0338,0.1807,Pharmetrics
1,2,2212367701,1466,0.0201,0.1402,Pharmetrics
1,2,2212523701,1130,0.0155,0.1234,Pharmetrics
1,10,2212924701,11498,0.1573,0.3641,Pharmetrics
1,5,2212091701,8977,0.1228,0.3282,Pharmetrics
1,10,2212991701,6818,0.0933,0.2908,Pharmetrics
1,1,2212238701,14274,0.1953,0.3964,Pharmetrics
1,2,2212776701,955,0.0131,0.1136,Pharmetrics
1,9,2212441701,4656,0.0637,0.2442,Pharmetrics
1,5,46257666701,10101,0.1382,0.3451,Pharmetrics
1,2,2212168701,12084,0.1653,0.3715,Pharmetrics
1,8,2212392701,1967,0.0269,0.1618,Pharmetrics
