"vocabulary_id","vocabulary_name","vocabulary_reference","vocabulary_version","vocabulary_concept_id"
"NFC","New Form Code (EphMRA)","http://www.ephmra.org/New-Form-Codes-Classification","NFC 20160704",245
"Relationship","OMOP Relationship","OMOP generated",,44819235
"Type Concept","OMOP Type Concept","OMOP generated","Type Concept 20210212",32808
"Note Type","OMOP Note Type","OMOP generated",,44819146
"Sponsor","Sponsor - institution or individual financing healthcare transactions","OMOP generated",,32472
"Race","Race and Ethnicity Code Set (USBC)","http://www.cdc.gov/nchs/data/dvs/Race_Ethnicity_CodeSet.pdf","Version 1.0",44819109
"NUCC","National Uniform Claim Committee Health Care Provider Taxonomy Code Set (NUCC)","http://www.nucc.org/index.php?option=com_content&view=article&id=107&Itemid=132","2018-06-26 NUCC",44819137
"Device Type","OMOP Device Type","OMOP generated",,44819151
"HES Specialty","Hospital Episode Statistics Specialty (NHS)","http://www.datadictionary.nhs.uk/data_dictionary/attributes/m/main_specialty_code_de.asp?shownav=0","2018-06-26 HES Specialty",44819145
"Read","NHS UK Read Codes Version 2 (HSCIC)","http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html","NHS READV2 21.0.0 20160401000001 + DATAMIGRATION_25.0.0_20180403000001",44819113
"UB04 Point of Origin","UB04 Claim Source Inpatient Admission Code (CMS)","https://www.resdac.org/cms-data/variables/Claim-Source-Inpatient-Admission-Code",,32045
"OMOP Genomic","OMOP Genomic vocabulary","OMOP generated","OMOP Genomic 20210727",33002
"HemOnc","HemOnc","https://hemonc.org","HemOnc 2021-09-08",32613
"ATC","WHO Anatomic Therapeutic Chemical Classification","http://www.whocc.no/atc_ddd_index/","RxNorm 20210907",44819117
"SNOMED Veterinary","SNOMED Veterinary","https://vtsl.vetmed.vt.edu/extension/","SNOMED Veterinary 20190401",32549
"OncoKB","Oncology Knowledge Base (MSK)","https://www.oncokb.org/","OncoKB v20210502",32999
"Cost","OMOP Cost","OMOP generated",,581457
"Condition Type","OMOP Condition Occurrence Type","OMOP generated",,44819127
"ICD9CM","International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)","http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html","ICD9CM v32 master descriptions",5046
"UK Biobank","UK Biobank","https://biobank.ctsu.ox.ac.uk/showcase/schema.cgi; https://biobank.ctsu.ox.ac.uk/crystal/refer.cgi?id=141140","version 2020-10-15",32976
"CPT4","Current Procedural Terminology version 4 (AMA)","http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html","2021 Release",44819100
"Condition Status","OMOP Condition Status","OMOP generated",,32887
"HCPCS","Healthcare Common Procedure Coding System (CMS)","http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html","2020 Alpha Numeric HCPCS File",44819101
"UB04 Pt dis status","UB04 Patient Discharge Status Code (CMS)","https://www.resdac.org/cms-data/variables/patient-discharge-status-code",,32047
"DA_France","Disease Analyzer France (IQVIA)","IQVIA proprietary","DA_France2022-02-04",204
"CVX","CDC Vaccine Administered CVX (NCIRD)","https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx","CVX Code Set 20210917",581400
"SNOMED","Systematic Nomenclature of Medicine - Clinical Terms (IHTSDO)","http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html","2020-07-31 SNOMED CT International Edition; 2020-09-01 SNOMED CT US Edition; 2020-10-28 SNOMED CT UK Edition",44819097
"RxNorm","RxNorm (NLM)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","RxNorm 20220307",44819104
"UCUM","Unified Code for Units of Measure (Regenstrief Institute)","http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index","Version 1.8.2",44819107
"ICDO3","International Classification of Diseases for Oncology, Third Edition (WHO)","https://seer.cancer.gov/icd-o-3/","ICDO3 SEER Site/Histology Released 06/2020",581426
"CTD","Comparative Toxicogenomic Database","http://ctdbase.org","CTD 2020-02-19",32735
"Metadata","Metadata","OMOP generated",,32675
"OMOP Invest Drug","OMOP Investigational Drugs","https://gsrs.ncats.nih.gov/, https://gsrs.ncats.nih.gov/#/release","OMOP Invest Drug version 2022-05-12",33051
"CGI","Cancer Genome Interpreter (Pompeu Fabra University)","https://www.cancergenomeinterpreter.org/data/cgi_biomarkers_latest.zip","CGI v20180117",32914
"Episode Type","OMOP Episode Type","OMOP generated",,32542
"ICD10GM","International Classification of Diseases, Tenth Revision, German Edition","https://www.dimdi.de/dynamic/.downloads/klassifikationen/icd-10-gm","ICD10GM 2021",32928
"Medicare Specialty","Medicare provider/supplier specialty codes (CMS)","http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/MedicareProviderSupEnroll/Taxonomy.html","2018-06-26 Specialty",44819138
"CMS Place of Service","Place of Service Codes for Professional Claims (CMS)","http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/PhysicianFeeSched/downloads//Website_POS_database.pdf","2009-01-11",44819110
"dm+d","Dictionary of Medicines and Devices (NHS)","https://isd.hscic.gov.uk/trud3/user/authenticated/group/0/pack/1/subpack/24/releases","dm+d Version 6.3.0 20210628",232
"CIViC","Clinical Interpretation of Variants in Cancer (civicdb.org)","https://github.com/griffithlab/civic-server/blob/master/public/downloads/RankedCivicGeneCandidates.tsv","CIViC v20170425",32913
"Plan Stop Reason","Plan Stop Reason - Reason for termination of the Health Plan","OMOP generated",,32474
"OXMIS","Oxford Medical Information System (OCHP)","Codes extracted from GPRD database, courtesy of GSK",,44819114
"Episode","OMOP Episode","OMOP generated","Episode 20201014",32523
"Indication","Indications and Contraindications (FDB)","FDB US distribution package","20151119 Release",44819115
"PPI","AllOfUs_PPI (Columbia)","http://terminology.pmi-ops.org/CodeSystem/ppi","Codebook Version 0.4.43 + COVID + MHWB + SDOH + PFH",581404
"NDC","National Drug Code (FDA and manufacturers)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html, http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/UCM070838.zip","NDC 20220619",44819105
"ICD10CM","International Classification of Diseases, Tenth Revision, Clinical Modification (NCHS)","http://www.cdc.gov/nchs/icd/icd10cm.htm","ICD10CM FY2022 code descriptions",44819098
"ABMS","Provider Specialty (American Board of Medical Specialties)","http://www.abms.org/member-boards/specialty-subspecialty-certificates","2018-06-26 ABMS",45756746
"US Census","United States Census Bureau","https://www.census.gov/geo/maps-data/data/tiger-cart-boundary.html","US Census 2017 Release",32570
"KNHIS","Korean National Health Information System","OMOP generated",,32723
"CIEL","Columbia International eHealth Laboratory (Columbia University)","https://wiki.openmrs.org/display/docs/Getting+and+Using+the+MVP-CIEL+Concept+Dictionary","Openmrs 1.11.0 20150227",45905710
"Nebraska Lexicon","Nebraska Lexicon","https://www.unmc.edu/pathology-research/bioinformatics/campbell/tdc.html","Nebraska Lexicon 20190816",32757
"VANDF","Veterans Health Administration National Drug File","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","RxNorm 20211004",44819120
"NCIt","NCI Thesaurus (National Cancer Institute)","http://evs.nci.nih.gov/ftp1/NCI_Thesaurus"," NCIt 20220509",32917
"NDFRT","National Drug File - Reference Terminology (VA)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","RXNORM 2018-08-12",44819103
"Meas Type","OMOP Measurement Type","OMOP generated",,44819152
"CDT","Current Dental Terminology (ADA)","http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html","2022 Release",581438
"UB04 Typ bill","UB04 Type of Bill - Institutional (USHIK)","https://ushik.ahrq.gov/ViewItemDetails?&system=apcd&itemKey=196987000",,32044
"JMDC","Japan Medical Data Center Drug Code (JMDC)","OMOP generated","JMDC 2020-04-30",32557
"OPCS4","OPCS Classification of Interventions and Procedures version 4 (NHS)","http://systems.hscic.gov.uk/data/clinicalcoding/codingstandards/opcs4","2021 Release",44819143
"KDC","Korean Drug Code (HIRA)","https://www.hira.or.kr/eng/","KDC 2020-07-31",32422
"Provider","OMOP Provider","OMOP generated",,32573
"OMOP Extension","OMOP Extension (OHDSI)","OMOP generated","OMOP Extension 20220622",32758
"Multum","Cerner Multum (Cerner)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","2013-07-10",44819112
